tick,agent_a,agent_b
779,drone_0,drone_2
779,drone_1,drone_3
779,drone_3,drone_4
780,drone_0,drone_2
780,drone_1,drone_3
780,drone_3,drone_4
781,drone_0,drone_2
781,drone_1,drone_3
781,drone_3,drone_4
782,drone_0,drone_2
782,drone_1,drone_3
782,drone_3,drone_4
783,drone_0,drone_2
783,drone_1,drone_3
783,drone_3,drone_4
784,drone_0,drone_2
784,drone_1,drone_3
784,drone_3,drone_4
785,drone_0,drone_2
785,drone_1,drone_3
785,drone_3,drone_4
786,drone_0,drone_2
786,drone_1,drone_3
786,drone_3,drone_4
787,drone_0,drone_2
787,drone_1,drone_3
787,drone_3,drone_4
788,drone_0,drone_2
788,drone_1,drone_3
788,drone_3,drone_4
789,drone_0,drone_2
789,drone_1,drone_3
789,drone_3,drone_4
790,drone_0,drone_2
790,drone_1,drone_3
790,drone_3,drone_4
791,drone_0,drone_2
791,drone_1,drone_3
791,drone_3,drone_4
792,drone_0,drone_2
792,drone_1,drone_3
792,drone_3,drone_4
793,drone_0,drone_2
793,drone_1,drone_3
793,drone_3,drone_4
794,drone_0,drone_2
794,drone_1,drone_3
794,drone_3,drone_4
795,drone_0,drone_2
795,drone_1,drone_3
795,drone_3,drone_4
796,drone_0,drone_2
796,drone_1,drone_3
796,drone_3,drone_4
797,drone_0,drone_2
797,drone_1,drone_3
797,drone_3,drone_4
798,drone_0,drone_2
798,drone_1,drone_3
798,drone_3,drone_4
799,drone_0,drone_2
799,drone_3,drone_4
800,drone_0,drone_2
800,drone_3,drone_4
801,drone_0,drone_2
801,drone_3,drone_4
802,drone_0,drone_2
802,drone_3,drone_4
803,drone_0,drone_2
803,drone_3,drone_4
804,drone_0,drone_2
804,drone_3,drone_4
805,drone_0,drone_2
805,drone_3,drone_4
806,drone_0,drone_2
806,drone_3,drone_4
807,drone_0,drone_2
807,drone_2,drone_3
807,drone_3,drone_4
808,drone_0,drone_2
808,drone_2,drone_3
808,drone_3,drone_4
809,drone_0,drone_2
809,drone_1,drone_4
809,drone_2,drone_3
809,drone_3,drone_4
810,drone_0,drone_2
810,drone_1,drone_4
810,drone_2,drone_3
810,drone_3,drone_4
811,drone_0,drone_2
811,drone_1,drone_4
811,drone_2,drone_3
811,drone_3,drone_4
812,drone_0,drone_2
812,drone_1,drone_4
812,drone_2,drone_3
812,drone_3,drone_4
813,drone_0,drone_2
813,drone_1,drone_4
813,drone_2,drone_3
813,drone_3,drone_4
814,drone_0,drone_2
814,drone_1,drone_4
814,drone_2,drone_3
814,drone_3,drone_4
815,drone_0,drone_2
815,drone_1,drone_4
815,drone_2,drone_3
815,drone_3,drone_4
816,drone_0,drone_2
816,drone_1,drone_4
816,drone_2,drone_3
816,drone_3,drone_4
817,drone_0,drone_2
817,drone_1,drone_4
817,drone_2,drone_3
817,drone_3,drone_4
818,drone_0,drone_2
818,drone_1,drone_4
818,drone_2,drone_3
818,drone_3,drone_4
819,drone_1,drone_4
819,drone_2,drone_3
819,drone_3,drone_4
820,drone_1,drone_4
820,drone_2,drone_3
820,drone_3,drone_4
821,drone_1,drone_4
821,drone_2,drone_3
821,drone_3,drone_4
822,drone_1,drone_4
822,drone_2,drone_3
822,drone_3,drone_4
823,drone_1,drone_4
823,drone_2,drone_3
823,drone_3,drone_4
