Scenario,Group,Environment,Climate,Grid,Radius_km,Budget_m,Algorithm,Seed,n_agents,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
30,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,456,5,33.0,35.33,0.0258,0.3328,0.126,0.874,0.331106,1998.69,184.7
31,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,47.5,23.41,0.033,0.4922,0.3729,0.6271,0.500872,1143.89,22.0
31,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,43.0,24.25,0.0338,0.4828,0.3494,0.6506,0.496841,1140.65,24.2
31,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,49.0,22.49,0.0317,0.4912,0.4052,0.5948,0.49795,1150.22,22.6
32,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,7.5,8.95,0.0109,0.0693,0.1609,0.8391,0.081689,1030.35,28.9
32,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,5.0,8.94,0.0109,0.0693,0.1607,0.8393,0.081525,1030.24,27.7
32,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,5.0,9.29,0.0111,0.0702,0.1423,0.8577,0.082932,1030.37,27.6
33,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,35.0,14.39,0.0159,0.3548,0.2159,0.7841,0.363897,1130.16,21.1
33,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,36.5,14.21,0.0165,0.3558,0.2766,0.7234,0.365649,1134.24,20.5
33,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,34.5,13.12,0.0149,0.339,0.2419,0.7581,0.346902,1127.75,21.4
34,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,38.5,18.48,0.0268,0.4046,0.2776,0.7224,0.407268,1085.21,19.9
34,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,37.5,15.75,0.0196,0.4248,0.425,0.575,0.43476,1098.54,22.8
34,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,39.0,16.6,0.0216,0.3988,0.3814,0.6186,0.405706,1107.33,21.7
35,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,21.0,18.11,0.0247,0.2346,0.1191,0.8809,0.249711,1044.98,23.4
35,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,22.5,16.36,0.0225,0.2381,0.0834,0.9166,0.248534,1039.73,20.9
35,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,15.5,15.8,0.0213,0.2086,0.1863,0.8137,0.222998,1047.5,24.2
36,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,10.0,15.49,0.0213,0.2634,0.5793,0.4207,0.267904,1037.81,26.3
36,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,6.5,15.21,0.0211,0.2085,0.4974,0.5026,0.21446,1037.72,374.1
36,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,9.5,14.43,0.0197,0.2371,0.5937,0.4063,0.242384,1037.99,27.9
37,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,6.0,8.83,0.0109,0.0781,0.2363,0.7637,0.085634,1157.26,28.7
37,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,9.0,8.83,0.0109,0.0784,0.2359,0.7641,0.085749,1157.29,28.3
37,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,5.5,8.8,0.0109,0.078,0.2371,0.7629,0.085384,1119.23,26.6
38,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,12.5,13.88,0.0195,0.1312,0.1194,0.8806,0.135187,1060.11,25.5
38,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,12.5,14.03,0.0197,0.1329,0.1265,0.8735,0.136994,1060.76,26.3
38,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,12.5,13.88,0.0194,0.13,0.1254,0.8746,0.134393,1060.17,27.0
39,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,39.0,19.67,0.0265,0.4067,0.25,0.75,0.425973,1141.37,20.2
39,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,38.0,19.28,0.0249,0.418,0.22,0.78,0.425895,1147.97,19.8
39,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,44.0,19.64,0.0243,0.4079,0.1963,0.8037,0.417897,1146.13,20.8
40,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,30.5,19.06,0.022,0.3347,0.239,0.761,0.347429,1143.67,21.3
40,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,26.0,15.91,0.0174,0.3076,0.2515,0.7485,0.316725,1118.43,19.0
40,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,30.5,16.34,0.0188,0.3096,0.303,0.697,0.321287,1137.04,20.1
41,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,21.5,19.36,0.0261,0.195,0.2092,0.7908,0.199569,1001.53,27.4
41,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,24.0,19.91,0.0273,0.196,0.1347,0.8653,0.19912,979.58,24.9
41,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,21.5,22.82,0.0314,0.2043,0.2092,0.7908,0.20838,997.79,25.3
42,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,10.0,11.08,0.0143,0.1446,0.1298,0.8702,0.150646,1057.89,23.6
42,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,123,5,11.0,10.53,0.0139,0.1369,0.1281,0.8719,0.143656,1051.85,24.8
42,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,456,5,9.5,11.28,0.0145,0.1521,0.1264,0.8736,0.159032,1060.11,25.6
43,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_3D2P,42,5,4.0,11.34,0.0153,0.0764,0.0819,0.9181,0.079776,1081.67,33.9
