tick,agent_id,row,col,active,budget
74,dog_2,370,455,1,444827.0
74,dog_3,313,766,1,444691.9
75,drone_0,614,978,1,443941.1
75,drone_1,976,808,1,443854.1
75,dog_0,939,483,1,442408.8
75,dog_1,624,276,1,445241.1
75,dog_2,371,456,1,444784.5
75,dog_3,313,765,1,444667.9
76,drone_0,613,977,1,443898.7
76,drone_1,977,809,1,443811.7
76,dog_0,938,484,1,442387.6
76,dog_1,625,276,1,445151.1
76,dog_2,371,457,1,444769.5
76,dog_3,312,764,1,444633.9
77,drone_0,612,976,1,443856.2
77,drone_1,978,810,1,443769.2
77,dog_0,937,485,1,442345.2
77,dog_1,626,276,1,445061.0
77,dog_2,372,458,1,444727.1
77,dog_3,312,763,1,444609.9
78,drone_0,613,975,1,443813.8
78,drone_1,979,811,1,443726.8
78,dog_0,936,486,1,442302.7
78,dog_1,626,275,1,444971.0
78,dog_2,372,459,1,444712.0
78,dog_3,311,762,1,444576.0
79,drone_0,612,975,1,443783.8
79,drone_1,978,812,1,443684.3
79,dog_0,935,486,1,442272.7
79,dog_1,625,275,1,444880.9
79,dog_2,373,460,1,444690.8
79,dog_3,311,761,1,444552.0
80,drone_0,613,974,1,443741.3
80,drone_1,979,813,1,443641.9
80,dog_0,934,486,1,442242.7
80,dog_1,625,276,1,444790.9
80,dog_2,373,461,1,444660.8
80,dog_3,311,760,1,444521.9
81,drone_0,614,973,1,443698.9
81,drone_1,978,814,1,443599.4
81,dog_0,933,486,1,442206.7
81,dog_1,624,276,1,444775.9
81,dog_2,373,462,1,444645.8
81,dog_3,310,759,1,444488.0
82,drone_0,613,972,1,443656.4
82,drone_1,979,815,1,443557.0
82,dog_0,932,487,1,442164.2
82,dog_1,623,276,1,444760.9
82,dog_2,373,463,1,444630.8
82,dog_3,310,758,1,444473.0
83,drone_0,612,971,1,443614.0
83,drone_1,980,816,1,443514.5
83,dog_0,931,488,1,442143.0
83,dog_1,622,275,1,444739.6
83,dog_2,373,464,1,444615.8
83,dog_3,310,757,1,444458.0
84,drone_0,611,970,1,443571.5
84,drone_1,979,817,1,443472.1
84,dog_0,930,487,1,442121.8
84,dog_1,621,274,1,444718.4
84,dog_2,373,465,1,444585.8
84,dog_3,309,756,1,444424.0
85,drone_0,611,969,1,443541.5
85,drone_1,980,818,1,443429.6
85,dog_0,929,486,1,442100.5
85,dog_1,622,273,1,444676.0
85,dog_2,373,466,1,444570.8
85,dog_3,309,755,1,444400.0
86,drone_0,612,968,1,443499.1
86,drone_1,981,817,1,443387.2
86,dog_0,928,485,1,442058.1
86,dog_1,621,273,1,444661.0
86,dog_2,373,467,1,444555.7
86,dog_3,308,754,1,444366.0
87,drone_0,612,967,1,443469.0
87,drone_1,982,818,1,443344.7
87,dog_0,927,486,1,442036.9
87,dog_1,620,272,1,444639.7
87,dog_2,373,468,1,444525.7
87,dog_3,308,753,1,444342.0
88,drone_0,611,968,1,443426.6
88,drone_1,983,819,1,443302.3
88,dog_0,926,487,1,442015.6
88,dog_1,619,273,1,444618.5
88,dog_2,373,469,1,444510.7
88,dog_3,308,752,1,444327.0
89,drone_0,610,967,1,443384.2
89,drone_1,982,820,1,443259.8
89,dog_0,925,488,1,441973.2
89,dog_1,618,273,1,444603.5
89,dog_2,373,470,1,444495.7
89,dog_3,307,751,1,444305.8
90,drone_0,609,966,1,443341.7
90,drone_1,981,821,1,443217.4
90,dog_0,924,488,1,441958.2
90,dog_1,617,273,1,444588.5
90,dog_2,373,471,1,444465.7
90,dog_3,307,750,1,444275.8
91,drone_0,608,965,1,443299.3
91,drone_1,980,822,1,443174.9
91,dog_0,925,487,1,441915.7
91,dog_1,616,272,1,444567.3
91,dog_2,374,472,1,444444.5
91,dog_3,306,749,1,444241.8
92,drone_0,607,964,1,443256.8
92,drone_1,979,823,1,443132.5
92,dog_0,925,486,1,441900.7
92,dog_1,615,272,1,444552.3
92,dog_2,375,473,1,444402.0
92,dog_3,306,748,1,444226.8
93,drone_0,606,963,1,443214.4
93,drone_1,980,824,1,443090.0
93,dog_0,925,485,1,441885.7
93,dog_1,614,272,1,444537.2
93,dog_2,376,473,1,444372.0
93,dog_3,306,747,1,444196.8
94,drone_0,605,962,1,443171.9
94,drone_1,981,825,1,443047.6
94,dog_0,925,484,1,441870.7
94,dog_1,613,273,1,444516.0
94,dog_2,377,472,1,444350.8
94,dog_3,305,746,1,444162.8
95,drone_0,606,961,1,443129.5
95,drone_1,982,826,1,443005.1
95,dog_0,926,483,1,441828.3
95,dog_1,612,274,1,444494.8
95,dog_2,378,472,1,444335.8
95,dog_3,305,745,1,444132.8
96,drone_0,607,960,1,443087.0
96,drone_1,983,825,1,442962.7
96,dog_0,926,482,1,441813.3
96,dog_1,611,274,1,444479.8
96,dog_2,379,472,1,444305.8
96,dog_3,304,744,1,444098.9
97,drone_0,608,959,1,443044.6
97,drone_1,984,824,1,442920.2
97,dog_0,925,481,1,441792.0
97,dog_1,610,274,1,444464.8
97,dog_2,380,472,1,444275.8
97,dog_3,304,743,1,444074.8
98,drone_0,609,958,1,443002.1
98,drone_1,985,825,1,442877.8
98,dog_0,924,480,1,441741.1
98,dog_1,609,273,1,444443.6
98,dog_2,381,472,1,444245.7
98,dog_3,304,742,1,444044.8
99,drone_0,610,957,1,442959.7
99,drone_1,986,826,1,442835.3
99,dog_0,924,479,1,441705.1
99,dog_1,609,272,1,444428.6
99,dog_2,382,472,1,444215.7
99,dog_3,303,741,1,444010.9
100,drone_0,609,956,1,442917.2
100,drone_1,987,825,1,442792.9
100,dog_0,923,480,1,441628.7
100,dog_1,610,273,1,444407.3
100,dog_2,383,471,1,444194.5
100,dog_3,303,740,1,443986.9
101,drone_0,610,955,1,442874.8
101,drone_1,988,824,1,442750.4
101,dog_0,922,480,1,441574.6
101,dog_1,610,272,1,444392.3
101,dog_2,384,471,1,444164.5
101,dog_3,302,739,1,443952.9
102,drone_0,610,956,1,442844.8
102,drone_1,989,823,1,442708.0
102,dog_0,921,480,1,441520.6
102,dog_1,611,273,1,444371.1
102,dog_2,385,471,1,444134.5
102,dog_3,302,738,1,443928.9
103,drone_0,609,957,1,442802.3
103,drone_1,990,824,1,442665.5
103,dog_0,921,479,1,441466.6
103,dog_1,612,273,1,444356.1
103,dog_2,386,471,1,444119.5
103,dog_3,302,737,1,443898.9
104,drone_0,609,958,1,442772.3
104,drone_1,991,823,1,442623.1
104,dog_0,922,478,1,441390.2
104,dog_1,613,274,1,444334.9
104,dog_2,387,472,1,444077.0
104,dog_3,301,736,1,443864.9
105,drone_0,609,959,1,442742.3
105,drone_1,990,822,1,442580.6
105,dog_0,921,477,1,441326.5
105,dog_1,614,275,1,444313.6
105,dog_2,388,473,1,444055.8
105,dog_3,301,735,1,443840.9
106,drone_0,608,958,1,442699.8
106,drone_1,989,821,1,442538.2
106,dog_0,921,476,1,441281.5
106,dog_1,615,276,1,444292.4
106,dog_2,389,473,1,444025.8
106,dog_3,300,734,1,443819.7
107,drone_0,607,959,1,442657.4
107,drone_1,988,820,1,442495.8
107,dog_0,920,475,1,441217.8
107,dog_1,616,277,1,444271.2
107,dog_2,390,472,1,444004.5
107,dog_3,300,733,1,443795.7
108,drone_0,606,960,1,442614.9
108,drone_1,989,819,1,442453.3
108,dog_0,919,476,1,441154.1
108,dog_1,617,278,1,444250.0
108,dog_2,391,472,1,443974.5
108,dog_3,300,732,1,443780.7
109,drone_0,606,961,1,442584.9
109,drone_1,988,818,1,442410.9
109,dog_0,919,475,1,441109.1
109,dog_1,618,279,1,444228.7
109,dog_2,392,472,1,443944.5
109,dog_3,299,731,1,443759.4
110,drone_0,605,962,1,442542.5
110,drone_1,989,817,1,442368.4
110,dog_0,918,474,1,441045.4
110,dog_1,619,280,1,444207.5
110,dog_2,393,471,1,443902.1
110,dog_3,299,730,1,443744.4
111,drone_0,604,963,1,442500.0
111,drone_1,988,816,1,442326.0
111,dog_0,917,475,1,440981.8
111,dog_1,620,281,1,444186.3
111,dog_2,394,470,1,443859.6
111,dog_3,298,729,1,443710.5
112,drone_0,604,964,1,442470.0
112,drone_1,989,815,1,442283.5
112,dog_0,916,475,1,440951.7
112,dog_1,621,282,1,444165.1
112,dog_2,395,469,1,443817.2
112,dog_3,298,728,1,443686.5
113,drone_0,603,965,1,442427.6
113,drone_1,988,814,1,442241.1
113,dog_0,916,474,1,440936.7
113,dog_1,622,282,1,444150.1
113,dog_2,396,468,1,443774.7
113,dog_3,298,727,1,443671.4
114,drone_0,602,966,1,442385.1
114,drone_1,989,813,1,442198.6
114,dog_0,916,473,1,440891.7
114,dog_1,623,283,1,444128.8
114,dog_2,397,467,1,443732.3
114,dog_3,297,726,1,443637.5
115,drone_0,601,967,1,442342.7
115,drone_1,988,812,1,442156.2
115,dog_0,915,472,1,440828.0
115,dog_1,624,284,1,444086.4
115,dog_2,398,466,1,443689.8
115,dog_3,297,725,1,443613.5
116,drone_0,600,968,1,442300.2
116,drone_1,989,811,1,442113.7
116,dog_0,915,471,1,440783.0
116,dog_1,624,285,1,444071.4
116,dog_2,399,465,1,443647.4
116,dog_3,296,724,1,443579.5
117,drone_0,599,969,1,442257.8
117,drone_1,988,810,1,442071.3
117,dog_0,914,470,1,440719.3
117,dog_1,625,286,1,444028.9
117,dog_2,400,464,1,443604.9
117,dog_3,296,723,1,443555.5
118,drone_0,598,970,1,442215.3
118,drone_1,989,809,1,442028.8
118,dog_0,913,469,1,440655.7
118,dog_1,625,287,1,443998.9
118,dog_2,401,463,1,443562.5
118,dog_3,296,722,1,443531.5
119,drone_0,597,971,1,442172.9
119,drone_1,988,808,1,441986.4
119,dog_0,912,468,1,440592.0
119,dog_1,625,288,1,443968.9
119,dog_2,402,462,1,443520.0
119,dog_3,295,721,1,443497.5
120,drone_0,596,972,1,442130.4
120,drone_1,989,807,1,441943.9
