Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Kill_fraction,N_agents_killed,Steps_completed,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.6,3,9186,123,10.5,11.47,0.0074,0.1045,0.0919,0.9081,0.10933099687099457,851.36,363.0
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.6,3,15000,123,22.0,31.76,0.0,0.0,0.0,0.0,0.233511,964.48,19.0
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.6,3,15000,123,39.5,63.32,0.0,0.0,0.0,0.0,0.34433,964.48,2.6
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.0,0,10848,456,35.5,34.85,0.0249,0.3119,0.3736,0.6264,0.3130500018596649,1845.66,548.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.0,0,15000,456,41.5,49.28,0.0,0.0,0.0,0.0,0.383934,2009.34,20.2
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.0,0,15000,456,53.5,132.0,0.0,0.0,0.0,0.0,0.519454,2009.34,2.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.2,1,10916,456,26.0,28.61,0.0201,0.2621,0.2128,0.7872,0.26384198665618896,1725.36,499.1
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.2,1,15000,456,30.0,43.38,0.0,0.0,0.0,0.0,0.297967,1661.05,19.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.2,1,15000,456,43.0,109.19,0.0,0.0,0.0,0.0,0.417218,1661.05,2.6
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.4,2,10960,456,18.5,20.0,0.0134,0.1857,0.1589,0.8411,0.18873600661754608,1197.91,454.3
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.4,2,15000,456,33.0,38.6,0.0,0.0,0.0,0.0,0.304174,1312.77,20.7
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.4,2,15000,456,40.0,86.25,0.0,0.0,0.0,0.0,0.370339,1312.77,2.7
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.6,3,8278,456,13.5,13.54,0.0082,0.1047,0.1371,0.8629,0.11249999701976776,875.75,337.9
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.6,3,15000,456,22.0,31.04,0.0,0.0,0.0,0.0,0.233588,964.48,19.1
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.6,3,15000,456,37.5,63.32,0.0,0.0,0.0,0.0,0.34433,964.48,2.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.0,0,10127,42,29.0,43.38,0.0316,0.3064,0.306,0.694,0.30681100487709045,1804.32,500.7
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.0,0,15000,42,32.5,60.19,0.0,0.0,0.0,0.0,0.378755,2009.34,19.2
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.0,0,15000,42,43.0,132.0,0.0,0.0,0.0,0.0,0.485759,2009.34,3.3
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.2,1,9995,42,23.5,35.54,0.0255,0.2619,0.2746,0.7254,0.26322001218795776,1487.53,462.2
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.2,1,15000,42,30.5,55.6,0.0,0.0,0.0,0.0,0.360084,1661.05,19.2
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.2,1,15000,42,40.5,109.19,0.0,0.0,0.0,0.0,0.42893,1661.05,2.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.4,2,9854,42,20.0,29.28,0.0208,0.2173,0.1629,0.8371,0.2190680056810379,1171.07,420.6
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.4,2,15000,42,24.0,39.55,0.0,0.0,0.0,0.0,0.279518,1312.77,19.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.4,2,15000,42,26.5,86.25,0.0,0.0,0.0,0.0,0.330806,1312.77,2.9
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.6,3,8001,42,12.5,18.02,0.0119,0.1349,0.1273,0.8727,0.14148899912834167,836.92,378.9
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.6,3,15000,42,13.0,25.8,0.0,0.0,0.0,0.0,0.2128,964.48,20.1
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.6,3,15000,42,20.5,63.32,0.0,0.0,0.0,0.0,0.2859,964.48,3.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.0,0,10127,123,31.0,43.39,0.0316,0.3064,0.306,0.694,0.3068229854106903,1804.21,567.7
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.0,0,15000,123,38.5,71.79,0.0,0.0,0.0,0.0,0.404843,2009.34,21.7
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.0,0,15000,123,47.0,132.0,0.0,0.0,0.0,0.0,0.485759,2009.34,2.9
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.2,1,9995,123,23.0,35.54,0.0255,0.2619,0.2746,0.7254,0.26322001218795776,1487.53,546.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.2,1,15000,123,32.0,54.28,0.0,0.0,0.0,0.0,0.351188,1661.05,18.0
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.2,1,15000,123,45.5,109.19,0.0,0.0,0.0,0.0,0.42893,1661.05,2.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.4,2,9854,123,23.0,29.28,0.0208,0.2173,0.1629,0.8371,0.2190680056810379,1171.07,408.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.4,2,15000,123,25.5,42.74,0.0,0.0,0.0,0.0,0.268842,1312.77,17.9
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.4,2,15000,123,34.5,86.25,0.0,0.0,0.0,0.0,0.330806,1312.77,2.4
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.6,3,8001,123,17.0,18.02,0.0119,0.1349,0.1273,0.8727,0.14148899912834167,836.92,319.1
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.6,3,15000,123,26.0,28.02,0.0,0.0,0.0,0.0,0.233792,964.48,18.1
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.6,3,15000,123,31.0,63.32,0.0,0.0,0.0,0.0,0.2859,964.48,2.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.0,0,10127,456,28.5,43.38,0.0316,0.3064,0.306,0.694,0.30681100487709045,1804.32,484.2
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.0,0,15000,456,34.5,67.85,0.0,0.0,0.0,0.0,0.384119,2009.34,17.9
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.0,0,15000,456,47.0,132.0,0.0,0.0,0.0,0.0,0.485759,2009.34,2.4
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.2,1,9995,456,26.0,35.54,0.0255,0.2619,0.2746,0.7254,0.26322001218795776,1487.53,443.6
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.2,1,15000,456,31.0,64.66,0.0,0.0,0.0,0.0,0.345616,1661.05,17.7
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.2,1,15000,456,40.5,109.19,0.0,0.0,0.0,0.0,0.42893,1661.05,2.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.4,2,9854,456,22.0,29.28,0.0208,0.2173,0.1629,0.8371,0.2190680056810379,1171.07,408.6
