Scenario,Group,Environment,Climate,Grid,Radius_km,Budget_m,Algorithm,Seed,n_agents,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
35,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,19.0,17.31,0.0269,0.2366,0.1243,0.8757,0.232769,1029.55,47.9
35,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,19.5,20.34,0.0315,0.2653,0.1602,0.8398,0.261784,1029.55,38.8
36,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,13.0,18.61,0.0276,0.3198,0.5927,0.4073,0.317852,1029.57,44.8
36,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,9.5,19.41,0.029,0.2947,0.4967,0.5033,0.29252,1029.57,451.9
36,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,12.5,17.25,0.0255,0.2957,0.614,0.386,0.294369,1029.56,36.2
37,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,10.5,14.65,0.0229,0.1386,0.2336,0.7664,0.136158,1029.5,33.5
37,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,14.0,12.94,0.0202,0.128,0.2636,0.7364,0.12537,1029.51,30.7
37,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,6.5,12.88,0.0201,0.1275,0.2646,0.7354,0.124873,1029.51,30.6
38,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,15.0,14.87,0.0232,0.1538,0.182,0.818,0.151041,1029.59,33.1
38,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,13.5,14.91,0.0233,0.1529,0.1735,0.8265,0.150477,1029.55,35.5
38,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,14.0,14.74,0.023,0.1555,0.1721,0.8279,0.153063,1029.57,47.3
39,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,33.5,12.94,0.0212,0.3477,0.2246,0.7754,0.346399,1029.62,34.8
39,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,30.5,12.21,0.0201,0.3238,0.2441,0.7559,0.322709,1029.55,30.9
39,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,36.0,14.13,0.0229,0.3538,0.2679,0.7321,0.352075,1029.53,33.1
40,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,25.0,14.7,0.0239,0.26,0.2562,0.7438,0.258284,1029.54,30.0
40,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,19.0,12.26,0.0197,0.2223,0.2885,0.7115,0.220872,1029.57,29.6
40,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,31.0,15.58,0.0249,0.2953,0.2158,0.7842,0.293248,1029.58,31.3
41,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,26.5,20.68,0.0314,0.226,0.2335,0.7665,0.223165,1029.57,43.6
41,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,21.5,17.86,0.0272,0.1857,0.2655,0.7345,0.183212,1029.6,43.3
41,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,17.5,17.46,0.0268,0.1878,0.3106,0.6894,0.185438,1029.56,43.0
42,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,12.5,13.59,0.0214,0.1797,0.1617,0.8383,0.177408,1029.52,43.3
42,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,10.5,12.66,0.0201,0.1704,0.2528,0.7472,0.168288,1029.55,42.2
42,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,14.0,15.55,0.0244,0.2025,0.2341,0.7659,0.200094,1029.52,41.4
43,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,4.5,12.69,0.0195,0.0998,0.1535,0.8465,0.097271,1029.56,49.1
43,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,5.5,12.69,0.0195,0.0996,0.1535,0.8465,0.097187,1029.54,50.3
43,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,6.0,12.69,0.0195,0.0998,0.1534,0.8466,0.097395,1029.53,48.8
44,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,66.5,27.67,0.0437,0.629,0.2886,0.7114,0.622465,1029.6,34.9
44,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,54.0,22.15,0.0348,0.506,0.3866,0.6134,0.501005,1029.53,35.3
44,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,57.5,26.08,0.0412,0.5352,0.3735,0.6265,0.529828,1029.55,32.4
45,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,21.5,18.74,0.028,0.2278,0.562,0.438,0.226255,1029.58,47.8
45,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,15.0,17.87,0.0266,0.2193,0.5772,0.4228,0.217546,1029.55,46.6
45,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,19.0,19.3,0.0288,0.2357,0.5473,0.4527,0.233736,1029.54,43.5
46,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,42,5,22.5,60.25,0.0428,0.3103,0.3777,0.6223,0.30786,2234.89,159.4
46,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,123,5,24.0,65.82,0.047,0.3393,0.3195,0.6805,0.336778,2234.78,158.5
46,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,456,5,25.0,60.06,0.0427,0.317,0.38,0.62,0.314699,2234.84,160.9
47,mountain_dry,mountainous,dry,1286x1286,19.3,446988.0,Swarm_5D0P,42,5,14.5,32.34,0.0221,0.214,0.6314,0.3686,0.212645,2234.84,184.2
