Config,Comm_range,Evaporation_rate,Ever_explored_penalty,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Likelihood,Path_km,Elapsed_s,Scenario,Group,Environment,Climate,Grid,Radius_km
E8_eep_15,500.0,0.01,1.5,123,15.0,14.03,0.0211,0.1724,0.1592,0.8408,0.1248,1204.5568,6022.7841,0.169898,1029.52,137.3,35,flat_dry,flat,dry,873x873,13.1
baseline,500.0,0.01,0.0,42,25.0,58.08,0.0409,0.3259,0.4468,0.5532,0.1186,3261.917,16309.585,0.322737,2234.81,495.3,46,mountain_dry,mountainous,dry,1286x1286,19.3
E6_comm_2000,2000.0,0.01,0.0,42,33.5,73.33,0.0515,0.3934,0.3133,0.6867,0.1261,3279.495,16397.4749,0.389446,2234.84,470.2,46,mountain_dry,mountainous,dry,1286x1286,19.3
E6_comm_5000,5000.0,0.01,0.0,42,36.5,82.57,0.058,0.445,0.2378,0.7622,0.1303,3066.5947,15332.9733,0.439876,2234.83,691.1,46,mountain_dry,mountainous,dry,1286x1286,19.3
E7_evap_0005,500.0,0.005,0.0,42,26.5,54.44,0.0383,0.3468,0.4764,0.5236,0.0628,3739.9717,18699.8585,0.343903,2234.87,446.3,46,mountain_dry,mountainous,dry,1286x1286,19.3
E7_evap_0002,500.0,0.002,0.0,42,28.5,57.21,0.04,0.3687,0.4474,0.5526,0.0541,3669.9284,18349.6419,0.3657,2234.81,409.3,46,mountain_dry,mountainous,dry,1286x1286,19.3
E8_eep_05,500.0,0.01,0.5,42,27.5,57.04,0.0388,0.3549,0.4806,0.5194,0.0513,4089.6076,20448.0379,0.352299,2234.79,438.4,46,mountain_dry,mountainous,dry,1286x1286,19.3
E8_eep_15,500.0,0.01,1.5,42,30.0,63.13,0.0428,0.3629,0.4585,0.5415,0.0266,3936.8804,19684.4022,0.359722,2234.86,412.5,46,mountain_dry,mountainous,dry,1286x1286,19.3
baseline,500.0,0.01,0.0,123,31.0,57.0,0.04,0.3772,0.4403,0.5597,0.0451,3862.2593,19311.2964,0.373596,2234.79,443.8,46,mountain_dry,mountainous,dry,1286x1286,19.3
E6_comm_2000,2000.0,0.01,0.0,123,30.5,59.67,0.042,0.3824,0.434,0.566,0.0523,3737.0436,18685.2178,0.379625,2234.87,501.8,46,mountain_dry,mountainous,dry,1286x1286,19.3
E6_comm_5000,5000.0,0.01,0.0,123,39.0,76.76,0.0538,0.4578,0.2734,0.7266,0.0494,3207.244,16036.2199,0.452672,2234.84,969.3,46,mountain_dry,mountainous,dry,1286x1286,19.3
E7_evap_0005,500.0,0.005,0.0,123,25.5,59.85,0.042,0.369,0.4273,0.5727,0.0892,3679.0232,18395.116,0.365817,2234.83,423.8,46,mountain_dry,mountainous,dry,1286x1286,19.3
E7_evap_0002,500.0,0.002,0.0,123,29.0,58.92,0.0414,0.3748,0.4395,0.5605,0.0226,3970.9065,19854.5324,0.371449,2234.87,444.7,46,mountain_dry,mountainous,dry,1286x1286,19.3
E8_eep_05,500.0,0.01,0.5,123,28.0,57.22,0.039,0.3472,0.4758,0.5242,0.0174,3917.7524,19588.7622,0.344568,2234.85,422.5,46,mountain_dry,mountainous,dry,1286x1286,19.3
E8_eep_15,500.0,0.01,1.5,123,25.0,61.94,0.042,0.3412,0.4657,0.5343,0.0213,3857.5017,19287.5084,0.338657,2234.81,409.8,46,mountain_dry,mountainous,dry,1286x1286,19.3
baseline,500.0,0.01,0.0,42,34.5,55.08,0.0388,0.3485,0.3367,0.6633,0.0649,3519.8259,17599.1297,0.344972,2234.88,420.9,50,mountain_dry,mountainous,dry,1286x1286,19.3
E6_comm_2000,2000.0,0.01,0.0,42,34.0,56.48,0.0396,0.3532,0.3751,0.6249,0.0217,3702.2103,18511.0515,0.35007,2234.83,503.9,50,mountain_dry,mountainous,dry,1286x1286,19.3
