Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
31,Concentric,flat,dry,medium,1,100000,0.12219775880116476,8.314082758715494e-05,54.0,6.582219955700215,100.00000000000021
31,Pizza,flat,dry,medium,1,100000,0.12379741176972134,5.8223123477955475e-05,56.99999999999999,6.579275799540142,99.9999999999998
32,RandomWalk,flat,dry,medium,1,100000,0.0174515070957134,0.0015730963077966705,4.0,1.297404997472158,100.00000000000001
32,Greedy,flat,dry,medium,1,100000,0.09527028355795024,0.003543783135381317,33.0,4.908462336397661,100.0000000000001
32,Spiral,flat,dry,medium,1,100000,0.1135064010281341,0.0009713136912353396,38.0,6.628025336402899,100.00000000000007
32,Concentric,flat,dry,medium,1,100000,0.1120308926070469,0.0009379814572466393,39.0,6.582219955700159,100.00000000000007
32,Pizza,flat,dry,medium,1,100000,0.11257355411898652,0.0009368132468238036,38.0,6.579275799539146,99.99999999999997
33,RandomWalk,flat,dry,medium,1,100000,0.026309933432774286,0.0013755534532196945,10.0,1.1741181317078542,100.00000000000036
33,Greedy,flat,dry,medium,1,100000,0.15504967688550156,0.0162982568702614,40.0,2.749595610469981,100.00000000000009
33,Spiral,flat,dry,medium,1,100000,0.1514006310413515,0.003779069655203924,51.0,6.62802533640293,100.00000000000028
33,Concentric,flat,dry,medium,1,100000,0.15156612115657606,0.0035582384371622955,50.0,6.582219955700196,99.99999999999982
33,Pizza,flat,dry,medium,1,100000,0.15206307416521012,0.003828810950882698,51.0,6.579275799540214,99.99999999999983
34,RandomWalk,flat,dry,medium,1,100000,0.003023126812346517,6.706322023926861e-32,9.0,1.7958297584137548,100.00000000000006
34,Greedy,flat,dry,medium,1,100000,0.0,0.0,0.0,1.1985974072563024,100.00000000000004
34,Spiral,flat,dry,medium,1,100000,0.02557871766165892,5.718830077805096e-17,30.0,6.628025336402798,99.99999999999984
34,Concentric,flat,dry,medium,1,100000,0.026751278131617175,8.776942034001666e-17,36.0,6.582219955699918,99.99999999999996
34,Pizza,flat,dry,medium,1,100000,0.025003825577858883,2.6320466896693365e-17,27.0,6.579275799539302,100.00000000000001
35,RandomWalk,flat,dry,medium,1,100000,0.00838218131596658,2.616931908177146e-11,1.0,0.999622423137818,99.99999999999963
35,Greedy,flat,dry,medium,1,100000,0.13697074010653473,0.002181530029555419,49.0,4.061281353099383,100.00000000000004
35,Spiral,flat,dry,medium,1,100000,0.11741394112357975,5.459743267108747e-07,33.0,6.6280253364029456,100.00000000000028
35,Concentric,flat,dry,medium,1,100000,0.11666727312752166,1.1105879760091804e-06,31.0,6.582219955700203,100.00000000000021
35,Pizza,flat,dry,medium,1,100000,0.11363784980986218,3.883481022852406e-07,31.0,6.579275799540184,99.9999999999998
36,RandomWalk,flat,dry,medium,1,100000,0.02865702150668369,0.0012902569005898673,8.0,1.414269019984903,99.99999999999999
36,Greedy,flat,dry,medium,1,100000,0.15770499564185092,0.004595869497375749,36.0,6.19095888940514,99.99999999999999
36,Spiral,flat,dry,medium,1,100000,0.1480626930123957,0.0012553439256356128,39.0,6.628025336402937,99.99999999999967
36,Concentric,flat,dry,medium,1,100000,0.14651198904233667,0.0012122647277607297,41.0,6.582219955700273,100.00000000000018
36,Pizza,flat,dry,medium,1,100000,0.14671603869056007,0.0012107549046225373,40.0,6.579275799540184,100.00000000000018
37,RandomWalk,flat,dry,medium,1,100000,0.007622618559797965,0.0014822952021124592,7.000000000000001,1.159959536835621,100.0000000000001
37,Greedy,flat,dry,medium,1,100000,0.044889314251709736,0.0038636866021132445,40.0,3.095319395357766,100.00000000000011
37,Spiral,flat,dry,medium,1,100000,0.047467317474044604,0.0005451606569314795,50.0,6.628025336402899,100.00000000000006
37,Concentric,flat,dry,medium,1,100000,0.04758573346710577,0.0004835762564273972,49.0,6.582219955700168,100.0000000000001
37,Pizza,flat,dry,medium,1,100000,0.04703592489189303,0.0005076633701595416,50.0,6.579275799539135,99.99999999999997
38,RandomWalk,flat,dry,medium,1,100000,0.042381553727765586,0.0008663607387248675,34.0,1.490547470661851,99.99999999999984
38,Greedy,flat,dry,medium,1,100000,0.10574184667536315,0.0065712795801313745,68.0,3.3385378183233665,99.99999999999999
38,Spiral,flat,dry,medium,1,100000,0.08576118991328839,0.0003795761368089297,51.0,6.6280253364028985,100.00000000000007
38,Concentric,flat,dry,medium,1,100000,0.08199583970563337,0.00037437563749380485,50.0,6.582219955700162,100.00000000000007
38,Pizza,flat,dry,medium,1,100000,0.08526986571168918,0.00038620804662733066,51.0,6.579275799539142,99.99999999999999
39,RandomWalk,flat,dry,medium,1,100000,0.03471055328446421,0.001470974184359919,18.0,1.2369081371390809,99.99999999999964
39,Greedy,flat,dry,medium,1,100000,0.10059114742849194,0.020222374916621058,43.0,2.458277354344339,100.00000000000001
39,Spiral,flat,dry,medium,1,100000,0.09622643899645467,0.0006226728000760847,56.99999999999999,6.628025336402928,99.99999999999969
39,Concentric,flat,dry,medium,1,100000,0.0967589285447564,0.0007340601084423451,56.99999999999999,6.582219955700264,100.00000000000017
39,Pizza,flat,dry,medium,1,100000,0.09513777449304882,0.0007041085982775915,56.99999999999999,6.5792757995402225,100.0000000000002
40,RandomWalk,flat,dry,medium,1,100000,0.008071086459644458,1.7708789420082862e-06,2.0,1.6477148367666223,99.99999999999997
40,Greedy,flat,dry,medium,1,100000,0.0498443928365571,0.00023950868410981335,36.0,1.9538790933926942,100.00000000000001
40,Spiral,flat,dry,medium,1,100000,0.04062926309047703,9.83251414545963e-05,28.000000000000004,6.6280253364029225,99.99999999999969
40,Concentric,flat,dry,medium,1,100000,0.03840094183008755,7.928450260974706e-05,31.0,6.582219955700275,100.00000000000017
40,Pizza,flat,dry,medium,1,100000,0.040003635901319876,8.267819376450526e-05,32.0,6.579275799540185,100.00000000000021
41,RandomWalk,flat,dry,medium,1,100000,0.016590542735950852,6.221745230762105e-05,11.0,1.4499305115319372,99.99999999999984
41,Greedy,flat,dry,medium,1,100000,0.04611086172783693,0.0031498495574330096,28.000000000000004,3.0420902241906753,99.99999999999972
41,Spiral,flat,dry,medium,1,100000,0.05536493170489598,0.00046515036980711413,36.0,6.628025336402941,99.99999999999967
41,Concentric,flat,dry,medium,1,100000,0.05429945626799525,0.000367296890084208,36.0,6.582219955700262,100.00000000000018
41,Pizza,flat,dry,medium,1,100000,0.054867657500948595,0.00042737313395799925,36.0,6.5792757995402225,100.00000000000021
42,RandomWalk,flat,dry,medium,1,100000,0.0005470895584194341,5.1790071769491344e-17,0.0,1.5241173134832522,99.99999999999986
42,Greedy,flat,dry,medium,1,100000,0.0,0.0,0.0,1.3247156788256853,99.99999999999991
42,Spiral,flat,dry,medium,1,100000,0.03263153710136205,0.00018071966073914542,30.0,6.628025336402899,100.00000000000007
42,Concentric,flat,dry,medium,1,100000,0.0316340542995381,0.00016883222637846873,28.999999999999996,6.582219955700159,100.00000000000007
42,Pizza,flat,dry,medium,1,100000,0.035421138696741655,0.00012633274142709972,36.0,6.579275799539146,99.99999999999997
